OBJECTID_1,POINT_X,POINT_Y,Bare_SAVI,Bare_NDVI,BARE_GNDVI,Bare_OSAVI
182,-104.998758,40.666307,0.081369,0.122122,0.244173,0.101158
183,-104.998639,40.666307,0.080927,0.122522,0.250283,0.101034
184,-104.998521,40.666307,0.081354,0.123344,0.257273,0.101636
185,-104.998403,40.666307,0.081903,0.123301,0.251823,0.101973
186,-104.998285,40.666307,0.087684,0.13219,0.255736,0.109245
187,-104.998166,40.666307,0.073268,0.10978,0.250141,0.091013
188,-104.998048,40.666307,0.076778,0.114754,0.250836,0.095258
189,-104.99793,40.666307,0.078281,0.117324,0.249581,0.097253
190,-104.997811,40.666307,0.074449,0.111892,0.238681,0.092617
191,-104.997693,40.666307,0.076812,0.114868,0.250418,0.095326
192,-104.997575,40.666307,0.073759,0.111449,0.245176,0.091997
193,-104.997456,40.666307,0.079335,0.119637,0.258797,0.098857
194,-104.997338,40.666307,0.072067,0.108861,0.243612,0.089874
195,-104.99722,40.666307,0.069303,0.103896,0.23671,0.08611
196,-104.997101,40.666307,0.078878,0.11687,0.247406,0.097448
197,-104.996983,40.666307,0.077306,0.115289,0.241189,0.09581
198,-104.996865,40.666307,0.071652,0.108081,0.24447,0.089295
199,-104.996746,40.666307,0.078484,0.119959,0.259302,0.098435
200,-104.996628,40.666307,0.080711,0.125133,0.259347,0.101921
201,-104.99651,40.666307,0.071165,0.111835,0.252599,0.090447
202,-104.996392,40.666307,0.073145,0.11549,0.254926,0.093171
203,-104.999704,40.666216,0.06408,0.09387,0.210387,0.078726
204,-104.999586,40.666216,0.061983,0.090562,0.208663,0.076052
205,-104.999468,40.666216,0.064849,0.094627,0.207765,0.079518
206,-104.999349,40.666216,0.061071,0.089345,0.206349,0.074981
207,-104.999231,40.666216,0.065332,0.096182,0.208955,0.08046
208,-104.999113,40.666216,0.071148,0.104578,0.219798,0.087555
209,-104.998994,40.666216,0.07587,0.111756,0.22822,0.093464
210,-104.998876,40.666216,0.075711,0.11242,0.232862,0.093634
211,-104.998758,40.666216,0.075364,0.111874,0.237575,0.093192
212,-104.998639,40.666216,0.076686,0.113837,0.241115,0.094827
213,-104.998521,40.666216,0.081903,0.123301,0.259594,0.101973
214,-104.998403,40.666216,0.083445,0.12666,0.262736,0.104307
215,-104.998285,40.666216,0.079477,0.120122,0.252834,0.099142
216,-104.998166,40.666216,0.075683,0.113557,0.251265,0.094076
217,-104.998048,40.666216,0.075717,0.113671,0.249438,0.094144
218,-104.99793,40.666216,0.081126,0.121927,0.254066,0.100924
219,-104.997811,40.666216,0.075501,0.113568,0.247046,0.093964
220,-104.997693,40.666216,0.076123,0.115053,0.248581,0.094959
221,-104.997575,40.666216,0.074224,0.113052,0.244828,0.092935
222,-104.997456,40.666216,0.07377,0.112135,0.253318,0.092278
223,-104.997338,40.666216,0.078698,0.120041,0.257374,0.098606
224,-104.99722,40.666216,0.080616,0.122753,0.250572,0.100925
225,-104.997101,40.666216,0.076316,0.114443,0.247902,0.094838
226,-104.996983,40.666216,0.069457,0.104418,0.24364,0.086418
227,-104.996865,40.666216,0.07037,0.106905,0.237986,0.088
228,-104.996747,40.666216,0.071364,0.109718,0.247211,0.089757
229,-104.996628,40.666216,0.073129,0.113965,0.25045,0.092574
230,-104.99651,40.666216,0.073145,0.11549,0.251074,0.093171
231,-104.996392,40.666216,0.07467,0.118197,0.251692,0.095227
232,-104.999823,40.666126,0.072955,0.106954,0.238862,0.089664
233,-104.999704,40.666126,0.067145,0.098002,0.226355,0.082343
234,-104.999586,40.666126,0.066234,0.096226,0.226385,0.081041
235,-104.999468,40.666126,0.066999,0.097538,0.214885,0.08206
236,-104.999349,40.666126,0.060339,0.088137,0.207827,0.074026
237,-104.999231,40.666126,0.0622,0.091258,0.211733,0.076475
238,-104.999113,40.666126,0.065474,0.096061,0.209327,0.0805
239,-104.998994,40.666126,0.062146,0.091083,0.206147,0.076369
240,-104.998876,40.666126,0.065189,0.095719,0.211058,0.080181
241,-104.998758,40.666126,0.071056,0.103711,0.215296,0.08714
242,-104.998639,40.666126,0.070841,0.103025,0.226484,0.086722
