PH,OM,Nitrate_N,Olsen_P,K,Ca,Mg,Sand,Silt,Clay
8.11712,1.55088,10.872,7.38496,240.823,5275.9,662.872,48.1651,17.0895,34.5364
8.12068,1.49986,11.327,7.65531,242.46,5261.52,647.662,48.2726,16.8364,34.7339
8.12106,1.42532,11.1015,7.87286,242.952,5235.44,629.014,48.3651,16.7803,34.7985
8.11852,1.34807,11.3581,7.5637,240.737,5202.41,609.837,48.6406,16.5653,34.7818
8.11239,1.3083,11.5305,7.57698,242.965,5213.06,592.624,49.099,16.1784,34.59
8.10705,1.33394,11.4294,7.40496,237.332,5211.41,580.352,49.3853,16.0492,34.5705
8.09594,1.38308,12.1721,7.42135,239.981,5152.55,573.063,49.681,15.8004,34.4734
8.08337,1.42865,12.6193,7.45072,243.941,5112.93,571.742,49.925,15.7688,34.3892
8.06738,1.46027,13.5276,7.55556,245.614,5113.82,580.236,50.1831,15.6585,34.2846
8.05072,1.50283,14.49,7.65199,248.317,5124.31,593.887,50.3808,15.6405,34.3834
8.03747,1.56864,15.3341,7.83554,252.744,5117.12,613.678,50.4902,15.7008,34.4573
8.03161,1.64536,16.5326,7.89275,256.661,5077.77,630.665,50.3,15.7891,34.4946
8.02683,1.6977,17.4849,7.74122,262.005,5017.81,645.291,50.1319,15.9254,34.4398
8.02843,1.74098,18.2045,7.91197,265.941,4950.49,653.988,49.998,15.9908,34.3128
8.02486,1.75716,18.0278,7.81926,267.14,4938.27,655.035,49.2079,16.4546,34.8562
8.12814,1.22311,4.40891,3.9026,233.939,4806.17,619.091,50.214,16.5149,33.3173
8.14466,1.12744,4.37083,3.69015,220.462,4871.89,619.517,50.0269,16.7624,33.2308
8.15087,1.08704,4.47091,3.68083,223.766,4935.3,622.341,49.654,17.1302,33.2479
8.15488,1.14278,5.00725,3.87106,212.588,4883.94,624.341,49.5002,17.3731,32.9462
8.15602,1.15122,5.24499,3.95769,215.014,4863.69,624.566,49.2709,17.6285,33.1601
8.158,1.14895,5.4118,3.9676,214.128,4861.28,623.147,48.9426,18.0068,33.1552
8.15014,1.15854,5.7766,3.80459,211.781,4928.9,623.939,48.7307,18.3475,33.1396
8.14808,1.20395,6.16485,4.29363,216.366,5018.16,626.767,48.7637,18.2297,33.4817
8.1391,1.29078,6.46865,4.58034,221.166,5121.1,633.886,48.7828,17.9673,33.6944
8.13176,1.37518,7.5682,5.33502,223.341,5113.21,644.938,48.5954,18.0907,33.6372
8.12422,1.51708,8.22941,5.60378,228.509,5198.49,655.797,48.4661,18.0499,33.6175
8.11765,1.70933,8.69328,5.74648,232.797,5333.7,667.539,48.3148,17.7264,33.8989
8.11474,1.65582,9.65686,6.36557,237.694,5295.38,674.492,48.1262,17.5149,34.3516
8.11664,1.59388,10.2076,6.43269,237.944,5274.3,672.168,47.973,17.4186,34.6539
8.12161,1.57548,10.4223,6.69298,240.138,5285.87,665.296,47.9462,17.2951,34.5507
8.1256,1.50839,11.0048,7.16932,243.225,5282.8,650.699,48.0073,17.052,34.8192
8.12361,1.41216,11.3419,7.04767,241.425,5222.34,630.579,48.1297,16.9321,34.9248
8.1208,1.31021,11.1479,6.82881,238.332,5186.83,611.665,48.3374,16.7145,35.0727
8.11914,1.2737,11.2321,7.16424,236.897,5177.12,594.027,48.6594,16.4281,34.9644
8.10974,1.33011,11.5914,6.95347,236.573,5186,580.25,49.0301,16.1941,34.7549
8.09688,1.39552,11.9888,6.62474,236.961,5119.19,570.302,49.2159,16.1284,34.8181
8.08474,1.45011,12.4125,6.91935,241.306,5067.53,568.676,49.4587,16.0134,34.6169
8.06136,1.4565,13.5114,7.42099,245.038,5130.04,575.197,49.756,15.8674,34.4572
8.04002,1.47996,14.481,7.13564,245.602,5138.28,589.34,49.9016,15.8752,34.5165
8.01957,1.51625,15.539,7.31837,249.414,5181.79,607.217,49.8821,16.0074,34.79
